boardid;tradedate;shortname;secid;numtrades;value;open;low;high;legalcloseprice;waprice;close;volume;marketprice2;marketprice3;admittedquote;mp2valtrd;marketprice3tradesvalue;admittedvalue;waval;tradingsession;currencyid;trendclspr
TQBR;2022-08-19;Совкомфлот;FLOT;3590;28042937.0;38.53;37.5;38.65;37.53;37.88;37.53;740260;37.88;37.88;37.53;28042937.0;28042937.0;28042937.0;0;3;SUR;-1.86
TQBR;2022-08-22;Совкомфлот;FLOT;3956;41777532.2;37.55;37.55;39.2;38.24;38.45;38.24;1086510;38.45;38.45;38.24;41777532.2;41777532.2;41777532.2;0;3;SUR;1.89
TQBR;2022-08-23;Совкомфлот;FLOT;4341;61954419.4;38.49;38.42;39.69;39.4;39.28;39.4;1581850;39.17;39.17;39.4;61954419.4;61954419.4;61954419.4;0;3;SUR;3.03
TQBR;2022-08-24;Совкомфлот;FLOT;4268;51419255.0;39.4;39.0;40.4;39.05;39.67;39.05;1296170;39.67;39.67;39.05;51419255.0;51419255.0;51419255.0;0;3;SUR;-0.89
TQBR;2022-08-25;Совкомфлот;FLOT;3004;38619444.0;39.05;39.05;39.81;39.29;39.45;39.29;978980;39.45;39.45;39.29;38619444.0;38619444.0;38619444.0;0;3;SUR;0.61
TQBR;2022-08-26;Совкомфлот;FLOT;1885;23737976.2;39.41;39.0;39.59;39.1;39.17;39.1;606020;39.17;39.17;39.1;23737976.2;23737976.2;23737976.2;0;3;SUR;-0.48
TQBR;2022-08-29;Совкомфлот;FLOT;2482;19460206.2;39.17;39.0;39.49;39.25;39.2;39.25;496460;39.2;39.2;39.25;19460206.2;19460206.2;19460206.2;0;3;SUR;0.38
TQBR;2022-08-30;Совкомфлот;FLOT;5675;67434155.6;39.4;39.39;40.55;40.5;40.11;40.5;1686780;39.98;39.98;40.5;67434155.6;67434155.6;67434155.6;0;3;SUR;3.18
TQBR;2022-08-31;Совкомфлот;FLOT;4987;54862030.9;40.5;39.23;40.93;39.8;39.88;39.8;1375710;39.88;39.88;39.8;54862030.9;54862030.9;54862030.9;0;3;SUR;-1.73
TQBR;2022-09-01;Совкомфлот;FLOT;10023;146564143.8;39.84;39.41;42.0;41.96;40.99;41.96;3576010;40.99;40.99;41.96;146564143.8;146564143.8;146564143.8;0;3;SUR;5.43
TQBR;2022-09-02;Совкомфлот;FLOT;7334;86303201.3;41.9;40.97;42.38;41.7;41.67;41.7;2071340;41.67;41.67;41.7;86303201.3;86303201.3;86303201.3;0;3;SUR;-0.62
TQBR;2022-09-05;Совкомфлот;FLOT;6270;72478955.1;42.0;41.3;43.0;42.91;42.16;42.91;1719190;42.16;42.16;42.91;72478955.1;72478955.1;72478955.1;0;3;SUR;2.9
TQBR;2022-09-06;Совкомфлот;FLOT;16434;245091386.5;43.33;40.26;44.72;42.95;42.97;42.95;5704360;42.97;42.97;42.95;245091386.5;245091386.5;245091386.5;0;3;SUR;0.09
TQBR;2022-09-07;Совкомфлот;FLOT;15165;243012829.9;43.51;40.9;44.91;41.41;42.47;41.41;5721650;42.47;42.47;41.41;243012829.9;243012829.9;243012829.9;0;3;SUR;-3.59
TQBR;2022-09-08;Совкомфлот;FLOT;3888;45173135.9;41.0;40.43;41.82;41.14;41.27;41.14;1094700;41.27;41.27;41.14;45173135.9;45173135.9;45173135.9;0;3;SUR;-0.65
TQBR;2022-09-09;Совкомфлот;FLOT;3332;34350659.9;41.12;40.71;41.57;41.47;41.24;41.47;833020;41.24;41.24;41.47;34350659.9;34350659.9;34350659.9;0;3;SUR;0.8
TQBR;2022-09-12;Совкомфлот;FLOT;6476;85097053.2;41.47;41.06;42.86;42.05;42.27;42.05;2013140;42.27;42.27;42.05;85097053.2;85097053.2;85097053.2;0;3;SUR;1.4
TQBR;2022-09-13;Совкомфлот;FLOT;6359;79302713.4;42.13;42.1;43.32;42.5;42.84;42.5;1851020;42.84;42.84;42.5;79302713.4;79302713.4;79302713.4;0;3;SUR;1.07
TQBR;2022-09-14;Совкомфлот;FLOT;4290;56090362.1;42.75;41.46;42.75;42.0;41.76;42.0;1343150;41.76;41.76;42.0;56090362.1;56090362.1;56090362.1;0;3;SUR;-1.18
TQBR;2022-09-15;Совкомфлот;FLOT;4038;43756009.5;42.3;42.0;43.1;42.55;42.62;42.55;1026670;42.62;42.62;42.55;43756009.5;43756009.5;43756009.5;0;3;SUR;1.31
TQBR;2022-09-16;Совкомфлот;FLOT;3528;31990556.8;42.7;41.61;42.79;41.72;42.22;41.72;757680;42.22;42.22;41.72;31990556.8;31990556.8;31990556.8;0;3;SUR;-1.95
TQBR;2022-09-19;Совкомфлот;FLOT;2641;21916075.9;42.19;41.23;42.19;41.38;41.63;41.38;526490;41.63;41.63;41.38;21916075.9;21916075.9;21916075.9;0;3;SUR;-0.81
TQBR;2022-09-20;Совкомфлот;FLOT;12107;97796739.4;41.39;36.0;41.59;37.3;38.9;37.3;2514310;38.9;38.9;37.3;97796739.4;97796739.4;97796739.4;0;3;SUR;-9.86
TQBR;2022-09-21;Совкомфлот;FLOT;7791;67240813.0;35.0;34.08;37.5;36.51;35.85;36.51;1875720;35.85;35.85;36.51;67240813.0;67240813.0;67240813.0;0;3;SUR;-2.12
